"code_ISO","country","Extremely unhappy","1","2","3","4","5","6","7","8","9","Extremely happy"
"CH","Switzerland",0.14,0.07,0.36,1.09,0.94,3.7,3.19,13.91,33.55,27.46,15.51
"FI","Finland",0.06,0.06,0.71,1.6,1.92,2.44,3.72,13.01,34.49,31.15,10.77
"NO","Norway",0.,0.07,0.75,1.5,1.5,4.42,6.45,16.72,30.96,23.99,13.64
"NL","Netherlands",0.53,0.,0.12,0.3,1.06,2.66,5.14,17.41,42.38,24.14,6.14
"ES","Spain",0.27,0.05,0.54,0.98,1.36,5.15,7.54,19.21,29.57,18.61,16.71
"IS","Iceland",0.12,0.,0.6,2.39,2.51,3.7,4.89,15.27,33.89,25.3,11.46
"AT","Austria",0.38,0.26,0.51,1.41,1.11,5.58,5.54,16.07,32.27,25.49,11.38
"SI","Slovenia",0.24,0.4,0.57,1.62,2.1,5.5,7.03,16.81,31.77,19.48,14.63
"IE","Ireland",0.1,0.1,0.74,1.04,2.08,4.76,9.67,18.79,31.38,19.24,12.
"BE","Belgium",0.19,0.13,0.69,1.51,1.57,4.64,6.52,19.51,36.89,20.26,8.09
"SE","Sweden",0.41,0.41,0.49,1.06,1.88,4.73,8.48,18.43,33.36,21.37,9.38
"PL","Poland",0.14,0.28,1.12,2.03,1.89,7.96,9.43,17.53,27.51,15.01,16.97
"DE","Germany",0.12,0.54,1.03,2.27,1.78,7.24,8.06,15.51,32.63,19.27,11.5
"HR","Croatia",0.13,0.32,1.29,1.8,3.41,10.48,7.9,17.35,24.81,14.52,17.99
"LT","Lithuania",0.81,0.22,1.03,1.84,3.6,8.96,7.86,16.9,26.45,17.71,14.7
"GB","United Kingdom",0.84,0.42,1.19,1.55,3.28,6.26,8.65,19.69,28.4,15.99,13.6
"FR","France",0.51,0.06,0.4,1.19,2.04,10.48,8.84,22.44,28.5,15.3,10.2
"IL","Israel",1.22,0.66,0.78,1.77,2.55,5.76,11.41,21.15,27.13,15.17,12.4
"RS","Serbia",1.22,0.77,1.09,1.92,3.14,10.9,7.57,17.77,25.14,12.64,17.83
"EE","Estonia",0.31,0.31,0.93,2.64,3.57,10.32,7.21,21.49,27.62,16.06,9.7
"PT","Portugal",0.44,0.58,1.17,1.82,2.85,11.75,10.58,20.,26.79,13.28,10.73
"HU","Hungary",0.43,0.38,1.94,2.7,3.31,10.04,11.79,19.65,23.77,12.64,13.3
"CY","Cyprus",0.88,1.03,1.33,2.65,3.98,14.31,8.55,21.83,25.52,8.85,11.06
"LV","Latvia",0.72,0.8,1.21,2.49,4.42,15.68,8.28,21.14,25.56,11.33,8.44
"IT","Italy",0.6,0.63,1.02,2.46,3.62,8.89,17.5,26.95,25.33,8.43,4.6
"GR","Greece",0.11,0.58,0.69,2.8,3.74,11.92,14.86,27.03,28.78,8.72,0.8
"SK","Slovakia",0.63,0.35,1.47,5.79,6.91,12.56,11.24,19.4,20.45,11.17,10.12
"ME","Montenegro",0.31,0.44,0.88,1.75,7.38,28.56,13.25,13.12,14.06,7.62,12.56
"UA","Ukraine",3.12,1.39,3.27,5.55,5.28,23.07,8.47,12.98,15.52,7.47,13.87
"BG","Bulgaria",2.01,0.85,2.86,4.43,5.82,17.9,14.14,20.98,18.17,5.32,7.52
