"Key","Isolation Index","Island","Country","Territory","ISO_3","ISO_3","ISO_3","Ancien ISO_3","Island or Archipelago","Nearest Island distance","Group distance","Continent","Nearest Continent distance","Area","Area (km²)","Shoreline (km)","Coastal Index","Altitude (m)","Scale","Latitude","Longitude","Population","Alternate Names 1","Alternate Names 2","Alternate Names 3","Alternate Names 4","Alternate Names 5","Alternate Names 6","Alternate Names 7","Alternate Names 8","Ordination PNUE","Ordination Mathematica","Characteristic","Claimed by","Included Islands","Percent Country 1","Percent Country 2","Percent Country 3","Type","Nombre d'identifiants - Ile"
1.,17.98331174300516,"Aruba Island","Netherlands","Aruba","abw","","","naa","Lesser Antilles",67.,24.,"South America",24.,"Atlantic region",193.,76.3,0.3953367875647668,188.,769000.,12.516667,-70.016667,103484.,"","","","","","","","",1175.,100.,"","","","","","","sur la carte",1.
2.,"inc","Baia dos Tigres Island","Angola","","ago","","","","","inc","inc","inc","inc","Atlantic region",98.,"inc","inc","inc","inc",-16.602652,11.705807,"inc","Great Fish Bay","","","","","","","","",2.,"","","","","","","sur la carte",1.
3.,48.20590055346079,"Anguilla Island","United Kingdom","Anguilla","aia","","","","Lesser Antilles",10.,275.,"South America",810.,"Atlantic region",102.,56.,0.5490196078431373,62.,1.e6,18.217636,-63.049638,13477.,"","","","","","","","",1630.,2362.,"","","Scrub, Seal, Dog, Prickly and Pear","","","","sur la carte",1.
4.,"inc","Anguillita Island","United Kingdom","Anguilla","aia","","","","Lesser Antilles","inc","inc","inc","inc","Atlantic region","inc","inc","inc","inc","inc",18.15717,-63.1762,"inc","","","","","","","","","",2363.,"","","","","","","sur la carte",1.
5.,"inc","Sombrero Island","United Kingdom","Anguilla","aia","","","","Lesser Antilles","inc","inc","inc","inc","Atlantic region",0.4,"inc","inc",28.,"inc",18.589257,-63.425808,0.,"Hat Island","","","","","","","",1698.,"","","","","","","","sur la carte",1.
6.,"inc","Brändö Island","Finland","Åland","ala","","","","Åland Islands","inc","inc","inc","inc","Baltic region",1648.1,"inc","inc",25.,"inc",60.411993,21.056859,464.,"","","","","","","","","",970.,"","","","","","","sur la carte",1.
7.,15.142135623730951,"Fasta Åland Island","Finland","Åland","ala","","","","Åland Islands",1.,50.,"Europe",50.,"Baltic region",685.,501.3,0.7318248175182482,129.,1.e6,60.148056,19.788333,"inc","","","","","","","","",577.,971.,"","","","","","","sur la carte",1.
8.,"inc","Föglö Island","Finland","Åland","ala","","","","Åland Islands","inc","inc","inc","inc","Baltic region",132.,"inc","inc",30.,"inc",59.99859,20.380212,552.,"","","","","","","","","",972.,"","","","","","","sur la carte",1.
9.,"inc","Vårdö Island","Finland","Åland","ala","","","","Åland Islands","inc","inc","inc","inc","Baltic region",102.,"inc","inc",50.,"inc",60.241944,20.373056,444.,"","","","","","","","","",980.,"","","","","","","sur la carte",1.
10.,6.708203932499369,"Abu al Abyad Island","United Arab Emirates","","are","","","","",5.,5.,"Asia",5.,"Indian region",305.6,99.2,0.32460732984293195,12.,1.e6,24.19,53.81,280385.,"Abu Dhabi","Al Jirab","","","","","","","",2352.,"","","","","","","rattachée au continent",1.
11.,"inc","Dalma Island","United Arab Emirates","","are","","","","","inc","inc","inc","inc","Indian region","inc","inc","inc","inc","inc",24.516667,52.316667,10000.,"","","","","","","","","",2354.,"","","","","","","sur la carte",1.
12.,"inc","Palm Jebel Ali Island","United Arab Emirates","","are","","","","","inc","inc","inc","inc","Indian region",8.4,"inc","inc","inc","inc",25.005973,54.988289,"inc","","","","","","","","","",2355.,"Île artificielle","","","","","","pas sur la carte",1.
13.,"inc","Palm Jumeirah Island","United Arab Emirates","","are","","","","","inc","inc","inc","inc","Indian region",5.6,"inc","inc","inc","inc",25.114667,55.137797,"inc","","","","","","","","","",2356.,"Île artificielle","","","","","","pas sur la carte",1.
14.,"inc","Sir Bani Yas Island","United Arab Emirates","","are","","","","","inc","inc","inc","inc","Indian region",87.,"inc","inc",148.,"inc",24.329444,52.605833,"inc","","","","","","","","","",2357.,"","","","","","","sur la carte",1.
15.,8.774045063119937,"Bermejo Island","Argentina","Buenos Aires","arg","","","","",6.,10.,"South America",10.,"Atlantic region",0.,"inc","inc","inc","inc",-39.018669,-62.029984,"inc","","","","","","","","",4.,"","","","","","","","sur la carte",1.
16.,"inc","Isla de los Estados","Argentina","Tierra del fuego","arg","","","","Tierra del fuego","inc","inc","inc","inc","Atlantic region",534.,252.7,0.4732209737827715,1128.,1.e6,-54.753611,-63.888611,4.,"Isla de Xativa","","","","","","","",5.,98.,"","","","","","","sur la carte",1.
17.,10.195456435198011,"Trinidad Island","Argentina","Buenos Aires","arg","","","","",6.,15.,"South America",15.,"Atlantic region",0.,"inc","inc","inc","inc",-39.166666,-61.95,0.,"","","","","","","","",6.,"","","","","","","","sur la carte",1.
18.,87.94487741181575,"Aunu'u Island","United States of America","American Samoa","asm","","","","Samoa Islands",1.,600.,"Australia",3900.,"Pacific region",1.6,5.1,3.1875,61.,100000.,-14.284008,-170.560417,"inc","","","","","","","","",1737.,"","","","","","","","sur la carte",1.
19.,96.69167175662471,"Ofu Island","United States of America","American Samoa","asm","","","","Samoa Islands",95.,600.,"Australia",3900.,"Pacific region",7.5,14.1,1.88,494.,100000.,-14.174,-169.665,"inc","","","","","","","","",1807.,"","","","","","","","sur la carte",1.
20.,87.94487741181575,"Olosega Island","United States of America","American Samoa","asm","","","","Samoa Islands",1.,600.,"Australia",3900.,"Pacific region",5.4,11.,2.0370370370370368,639.,100000.,-14.175,-169.618,"inc","","","","","","","","",1808.,"","","","","","","","sur la carte",1.
21.,101.15494180854577,"Rose Atoll","United States of America","American Samoa","asm","","","","Samoa Islands",150.,700.,"Australia",3900.,"Pacific region",0.1,"inc","inc",3.,"inc",-14.64666,-168.151944,0.,"","","","","","","","",1820.,"","","","","","","","pas sur la carte",1.
22.,91.5298244508295,"Swains Island","United States of America","American Samoa","asm","","","","Samoa Islands",200.,200.,"Australia",4000.,"Pacific region",3.6,7.2,2.,6.,100000.,-11.05555,-171.077777,17.,"","","","","","","","",1851.,"","","","","","","","sur la carte",1.
