"OBJECTID","IRIS","X","Y","NUM","LET","TYPE_VOIE","LIBELLE_VOIE","SITUATION","CODE_ACTIVITE","LIBELLE_ACTIVITE","LIBELLE_REGROUPEMENT_8_POSTES","BIO","SURFACE","CC_ID","CC_NOM","CC_NIV","ORDRE","ARRONDISSEMENT","QUARTIER","REGROUPEMENT_8_POSTES"
2,751062402,651279.2865,6.8617583419e6,2,"","RUE","ABBAYE","angle de deux rues","CH101","Restaurant traditionnel français","Restauration","","moins de 300 m²","","","",83544,6,24,5
28,751051906,651706.1857,6.8605425772e6,7,"","RUE","ABBE DE L EPEE","sur rue","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",13473,5,19,5
31,751051906,651683.952788753,6.86055071589557e6,9,"","RUE","ABBE DE L EPEE","angle de deux rues","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",13475,5,19,5
32,751135109,652533.7385,6.8583583637e6,15,"","PL","ABBE GEORGES HENOCQUE","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",47475,13,51,5
56,751062307,650479.200320838,6.86109565432742e6,27,"","RUE","ABBE GREGOIRE","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",16611,6,23,5
63,751062307,650501.1564,6.8610572732e6,33,"","RUE","ABBE GREGOIRE","sur rue","CH101","Restaurant traditionnel français","Restauration","","moins de 300 m²","","","",16618,6,23,5
126,751155726,648287.9025,6.8603064468e6,46,"","RUE","ABBE GROULT","sur rue","CH202","Brasserie - Restauration continue avec tabac","Restauration","","moins de 300 m²","","","",53478,15,57,5
194,751187003,651563.6993,6.865054603e6,1,"","RUE","ABBESSES","angle de deux rues","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",71119,18,70,5
197,751187004,651564.08,6.865074223e6,2,"","RUE","ABBESSES","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",71250,18,70,5
198,751187003,651544.8855,6.8650658612e6,3,"","RUE","ABBESSES","sur rue","CH103","Restaurant asiatique","Restauration","","moins de 300 m²","","","",71122,18,70,5
202,751187003,651537.5081,6.8650704673e6,5,"","RUE","ABBESSES","angle de deux rues","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",71123,18,70,5
203,751187004,651533.9317,6.8650925705e6,6,"","RUE","ABBESSES","sur rue","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",71254,18,70,5
206,751186901,651517.512952517,6.86508263079303e6,7,"","RUE","ABBESSES","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",70811,18,69,5
209,751186901,651512.4564,6.865085787e6,9,"","RUE","ABBESSES","sur rue","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",70812,18,69,5
225,751186901,651434.4551,6.8651619653e6,23,"","RUE","ABBESSES","angle de deux rues","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",70806,18,69,5
240,751186901,651376.7874,6.8652015283e6,35,"","RUE","ABBESSES","sur rue","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",70573,18,69,5
255,751186908,651336.138102698,6.8652474793869e6,44,"","RUE","ABBESSES","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",70532,18,69,5
264,751186901,651304.6897,6.8652471756e6,49,"","RUE","ABBESSES","angle de deux rues","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",70599,18,69,5
269,751186908,651272.7048,6.8652802408e6,52,"","RUE","ABBESSES","sur rue","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",70492,18,69,5
270,751186908,651276.3710887,6.86527864132285e6,52,"","RUE","ABBESSES","sur rue","CH101","Restaurant traditionnel français","Restauration","","moins de 300 m²","","","",70493,18,69,5
277,751186908,651259.685836157,6.86528612222677e6,56,"","RUE","ABBESSES","angle de deux rues","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",70498,18,69,5
279,751186901,651250.5419,6.8652714759e6,61,"","RUE","ABBESSES","angle de deux rues","CH101","Restaurant traditionnel français","Restauration","","moins de 300 m²","","","",70623,18,69,5
280,751186901,651239.6783,6.8652763072e6,63,"","RUE","ABBESSES","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",70624,18,69,5
284,751186901,651224.751959702,6.86528291189628e6,65,"","RUE","ABBESSES","sur rue","CH302","Restauration rapide debout","Restauration","","moins de 300 m²","","","",70627,18,69,5
299,751093606,652256.0936,6.8645654308e6,20,"","RUE","ABBEVILLE","sur rue","CH108","Restaurant indien, pakistanais et Moyen Orient","Restauration","","moins de 300 m²","","","",29951,9,36,5
301,751093606,652242.5816,6.8645545044e6,23,"","RUE","ABBEVILLE","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",30285,9,36,5
304,751124808,654086.5132,6.8608632837e6,1,"","RUE","ABEL","sur rue","CH302","Restauration rapide debout","Restauration","","moins de 300 m²","","","",45099,12,48,5
338,751124808,654212.0133,6.8610816568e6,20,"","RUE","ABEL","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",44403,12,48,5
344,751135018,654023.7191,6.8596729021e6,17,"","RUE","ABEL GANCE","angle de deux rues","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",46877,13,50,5
345,751135201,652565.6587,6.8594120808e6,3,"","RUE","ABEL HOVELACQUE","sur rue","CH103","Restaurant asiatique","Restauration","","moins de 300 m²","","","",48350,13,52,5
346,751135201,652557.2184,6.8594029722e6,5,"","RUE","ABEL HOVELACQUE","sur rue","CH101","Restaurant traditionnel français","Restauration","","moins de 300 m²","","","",48351,13,52,5
351,751135201,652549.197898859,6.85941491011433e6,8,"","RUE","ABEL HOVELACQUE","sur rue","CH103","Restaurant asiatique","Restauration","","moins de 300 m²","","","",48377,13,52,5
380,751020702,651797.3712,6.8631382697e6,15,"","RUE","ABOUKIR","sur rue","CH103","Restaurant asiatique","Restauration","","moins de 300 m²","","","",4288,2,7,5
388,751020702,651906.7117,6.8631847871e6,26,"","RUE","ABOUKIR","angle de deux rues","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",4781,2,7,5
399,751020702,651927.8323,6.8632098623e6,37,"","RUE","ABOUKIR","sur rue","CH103","Restaurant asiatique","Restauration","","moins de 300 m²","","","",4587,2,7,5
425,751020703,652071.6922,6.8632741522e6,69,"","RUE","ABOUKIR","sur rue","CH103","Restaurant asiatique","Restauration","","moins de 300 m²","","","",4858,2,7,5
434,751020703,652119.024709149,6.86329599227193e6,77,"","RUE","ABOUKIR","sur rue","CH302","Restauration rapide debout","Restauration","","moins de 300 m²","","","",4867,2,7,5
447,751020804,652159.3616,6.8633014647e6,88,"","RUE","ABOUKIR","sur rue","CH106","Restaurant européen","Restauration","","moins de 300 m²","","","",5583,2,8,5
541,751186911,651573.9518,6.865533096e6,2,"","RUE","ABREUVOIR","angle de deux rues","CH101","Restaurant traditionnel français","Restauration","","moins de 300 m²","","","",70337,18,69,5
545,751176501,647900.182601274,6.86423587334132e6,2,"","RUE","ACACIAS","sur rue","CH302","Restauration rapide debout","Restauration","","moins de 300 m²","","","",63108,17,65,5
547,751176502,647925.0519,6.8642640886e6,3,"","RUE","ACACIAS","sur rue","CH302","Restauration rapide debout","Restauration","","moins de 300 m²","","","",63263,17,65,5
555,751176502,647974.4518,6.8642926991e6,9,"","RUE","ACACIAS","sur rue","CH103","Restaurant asiatique","Restauration","","moins de 300 m²","","","",63240,17,65,5
556,751176501,647937.919,6.8642577508e6,10,"","RUE","ACACIAS","sur rue","CH101","Restaurant traditionnel français","Restauration","","moins de 300 m²","","","",63112,17,65,5
557,751176501,647934.473192377,6.86425571944335e6,10,"","RUE","ACACIAS","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",63113,17,65,5
559,751176501,647949.0439,6.8642641877e6,12,"","RUE","ACACIAS","sur rue","CH106","Restaurant européen","Restauration","","moins de 300 m²","","","",63114,17,65,5
562,751176503,648017.1512667,6.86431749837018e6,15,"","RUE","ACACIAS","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",63148,17,65,5
565,751176501,647966.519946773,6.86427425864231e6,16,"","RUE","ACACIAS","sur rue","CH101","Restaurant traditionnel français","Restauration","","moins de 300 m²","","","",63116,17,65,5
571,751176503,648047.9707,6.8643376636e6,23,"","RUE","ACACIAS","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",63153,17,65,5
578,751176501,648028.941222265,6.86431034567725e6,28,"","RUE","ACACIAS","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",63120,17,65,5
579,751176503,648075.562,6.8643523787e6,29,"","RUE","ACACIAS","angle de deux rues","CH101","Restaurant traditionnel français","Restauration","","moins de 300 m²","","","",86497,17,65,5
599,751176501,648134.3724,6.8643810363e6,44,"","RUE","ACACIAS","sur rue","CH103","Restaurant asiatique","Restauration","","moins de 300 m²","","","",63034,17,65,5
606,751176503,648180.1888,6.8644498529e6,47,"","RUE","ACACIAS","sur rue","CH303","Restauration rapide assise","Restauration","","moins de 300 m²","","","",63189,17,65,5
607,751176503,648182.912706039,6.86445278212104e6,47,"","RUE","ACACIAS","sur rue","CH103","Restaurant asiatique","Restauration","","moins de 300 m²","","","",63190,17,65,5
615,751176501,648185.836828008,6.86443118705319e6,54,"","RUE","ACACIAS","sur rue","CH106","Restaurant européen","Restauration","","moins de 300 m²","","","",63013,17,65,5
622,751176501,648207.3618,6.8644540074e6,58,"","RUE","ACACIAS","angle de deux rues","CH101","Restaurant traditionnel français","Restauration","","moins de 300 m²","","","",63006,17,65,5
632,751207809,656608.1392,6.8635822281e6,9,"","PL","ADJUDANT VINCENOT","sur rue","CH201","Brasserie - Restauration continue sans tabac","Restauration","","moins de 300 m²","","","",79561,20,78,5
