"Année","Code-ISO","Total-export-alimentaire-USD","Total-import-alimentaire-USD","Total-export-autres-USD","Total-import-autres-USD","Total-export-USD","Total-import-USD"
2007,"abw",162426876,163302062,4497473575,2511566173,4659900451,2674868235
2007,"afg",175062509,744217905,130402827,2920678078,305465336,3664895983
2007,"ago",65383062,1924480644,42790331295,10725196573,42855714357,12649677217
2007,"aia",8386582,31618019,14339641,205049315,22726223,236667334
2007,"alb",84071011,733416797,1191811875,3757947085,1275882886,4491363882
2007,"and",6171010,348194760,179879261,1599240734,186050271,1947435494
2007,"ant",100495285,346539392,3980765646,3962001764,4081260931,4308541156
2007,"are",4127244811,8272768256,127329894432,113603813549,131457139243,121876581805
2007,"arg",31687553760,1702757451,28659109351,41950525758,60346663111,43653283209
2007,"arm",177841504,628972441,1205284266,2740214949,1383125770,3369187390
2007,"asm",7343266,93989829,66517077,94748567,73860343,188738396
2007,"atf",2429228,9180372,2037660,29366925,4466888,38547297
2007,"atg",16510464,126729986,269276557,1546850858,285787021,1673580844
2007,"aus",21133731984,8433879483,137744006621,156046315957,158877738605,164480195440
2007,"aut",9764031318,10677333507,136911645560,143687609578,146675676878,154364943085
2007,"aze",525008178,1137418100,12977920846,6523364592,13502929024,7660782692
2007,"bdi",77404918,70910049,78792795,436928676,156197713,507838725
2007,"bel",30446187811,32937036252,301484123362,384202818840,331930311173,417139855092
2007,"ben",145225196,726483411,624638862,2577705467,769864058,3304188878
2007,"bfa",141506198,312991477,733108333,1629152507,874614531,1942143984
2007,"bgd",753777330,4168774598,15016817076,15071076889,15770594406,19239851487
2007,"bgr",1709080411,1871185012,16790809559,28268152034,18499889970,30139337046
2007,"bhr",80233382,665703706,8092376653,6433838294,8172610035,7099542000
2007,"bhs",231781699,502968933,2023140097,8030903636,2254921796,8533872569
2007,"bih",242031479,1566655346,4362938294,8238585377,4604969773,9805240723
2007,"blr",1753057983,2196942937,22524572681,25895154877,24277630664,28092097814
2007,"blz",264942709,105804963,225525519,680432384,490468228,786237347
2007,"bmu",12074857,140230044,240367835,3889548899,252442692,4029778943
2007,"bol",758702779,394496001,4137213255,4045474567,4895916034,4439970568
2007,"bra",48270219188,6261402140,131656430783,123131271362,179926649971,129392673502
2007,"brb",107410851,281801461,495288283,1332822461,602699134,1614623922
2007,"brn",8827207,348729587,7268769775,2088276531,7277596982,2437006118
2007,"btn",93458667,108446127,726164035,408439296,819622702,516885423
2007,"bwa",155794118,529553510,3661949012,3570587114,3817743130,4100140624
2007,"caf",11301566,49511104,205121143,214745788,216422709,264256892
2007,"can",34781325871,24013987397,371427407973,348226196952,406208733844,372240184349
2007,"cck",110778,1356849,5516513,10037739,5627291,11394588
2007,"che",5950453507,9635997057,185741632098,174592244420,191692085605,184228241477
2007,"chl",12299152266,3524181215,58672130108,43015499940,70971282374,46539681155
2007,"chn",38631452622,32634058103,1438541397807,800975007379,1477172850429,833609065482
2007,"civ",4343157806,1530120873,5273297463,5644874080,9616455269,7174994953
2007,"cmr",806148412,762209055,5022544702,3478781557,5828693114,4240990612
2007,"cod",50186116,676037426,2071155745,2179509987,2121341861,2855547413
2007,"cog",79832792,414551418,9612407257,5259891428,9692240049,5674442846
2007,"cok",7558216,24001482,8209467,100789598,15767683,124791080
2007,"col",6615200585,3202410726,26680231906,29673086422,33295432491,32875497148
2007,"com",12113573,48816116,31361926,132673250,43475499,181489366
2007,"cpv",20223351,194211469,113505815,605686904,133729166,799898373
2007,"cri",4833438627,1155914687,9896083509,11990010974,14729522136,13145925661
2007,"cub",786926522,1484447716,1470543328,4991832676,2257469850,6476280392
2007,"cxr",213807,1758034,27353161,23184955,27566968,24942989
2007,"cym",5598572,127385564,308860216,1990058274,314458788,2117443838
2007,"cyp",587256145,1345503290,3375062044,13512638348,3962318189,14858141638
2007,"cze",4718928542,6417745808,109860936932,112464414086,114579865474,118882159894
2007,"deu",61857025501,74948173118,1168175557859,863752785184,1230032583360,938700958302
2007,"dji",151005527,316425380,53076592,1375495354,204082119,1691920734
2007,"dma",15221485,56135506,77916657,262877378,93138142,319012884
2007,"dnk",18879515963,12122856571,73380104508,86079243036,92259620471,98202099607
2007,"dom",1298687874,1886767238,7784816907,13521083211,9083504781,15407850449
2007,"dza",146081771,5508519265,63631246150,25025795100,63777327921,30534314365
2007,"ecu",5859051466,1259983463,10237230778,12800846041,16096282244,14060829504
2007,"egy",3023195662,8739782587,23050645796,32509318184,26073841458,41249100771
2007,"eri",8409187,71840481,65087269,262735051,73496456,334575532
2007,"esp",36229003598,34591375596,217608324449,354202773688,253837328047,388794149284
2007,"est",1134435376,1548808954,10880138213,14579015785,12014573589,16127824739
2007,"eth",940794964,469038659,459500284,5873152853,1400295248,6342191512
2007,"fin",1998252060,4339655640,90346416315,76220223563,92344668375,80559879203
2007,"fji",540271935,283669834,336595484,1628782427,876867419,1912452261
2007,"flk",166704995,7305544,6860643,80656685,173565638,87962229
2007,"fra",63967030903,49590407201,484875912216,566843315005,548842943119,616433722206
2007,"fsm",29065307,47574603,2920377,128455089,31985684,176029692
2007,"gab",48100308,401022197,6605925035,2372826323,6654025343,2773848520
2007,"gbr",24853053607,60054487484,403065906438,584839066039,427918960045,644893553523
2007,"geo",327790694,933482689,1712977446,4591214875,2040768140,5524697564
2007,"gha",2255164875,1379704524,2935354963,7641665908,5190519838,9021370432
2007,"gib",4305354,151485796,281893594,6002159929,286198948,6153645725
2007,"gin",127989417,338764731,2188032516,1547433631,2316021933,1886198362
2007,"gmb",31740753,290135958,21662722,580991162,53403475,871127120
2007,"gnb",78967306,60983064,5948124,138869451,84915430,199852515
2007,"gnq",5486226,173342794,9248808011,1223755177,9254294237,1397097971
2007,"grc",5053801460,8710385926,20179026406,69431259928,25232827866,78141645854
2007,"grd",23231615,72922450,47328870,340750144,70560485,413672594
2007,"grl",519581399,152825901,67508632,641233806,587090031,794059707
2007,"gtm",3181097102,1628038633,4377824456,12331942564,7558921558,13959981197
2007,"gum",20267509,86142229,94685847,906435262,114953356,992577491
2007,"guy",388961750,178326774,551933826,970564658,940895576,1148891432
2007,"hkg",2624647038,11927650189,92116280125,383893123890,94740927163,395820774079
2007,"hnd",1687843886,1022993920,4311749298,6955372323,5999593184,7978366243
2007,"hrv",1307435952,2193587953,11876655488,24438787118,13184091440,26632375071
2007,"hti",33910632,630686405,631403923,1374602592,665314555,2005288997
2007,"hun",6451224448,4330857943,84236622416,88139642975,90687846864,92470500918
2007,"idn",19611387244,8286632769,136590664992,75735748132,156202052236,84022380901
2007,"ind",16356040128,7826344477,159178322510,234521365037,175534362638,242347709514
2007,"iot",333836,1612411,3797891,11257660,4131727,12870071
2007,"irl",13843427867,8037212293,136107045808,82130604139,149950473675,90167816432
2007,"irn",1789487144,4777079363,71702363517,45125124886,73491850661,49902204249
2007,"irq",56926891,3405577062,36168073460,10055388145,36225000351,13460965207
2007,"isl",2236333265,554325504,2862379911,6805626437,5098713176,7359951941
2007,"isr",3352633702,4135002484,54309394564,54866440035,57662028266,59001442519
2007,"ita",33314203189,43862847216,445897086194,450211338341,479211289383,494074185557
2007,"jam",600066498,1010614008,2206923684,6078963510,2806990182,7089577518
2007,"jor",684083319,2446929043,5921186297,14101177902,6605269616,16548106945
2007,"jpn",3953455433,56615602124,770325243240,554873330010,774278698673,611488932134
2007,"kaz",2258361045,2342268063,41623233871,31748027977,43881594916,34090296040
2007,"ken",2494969064,1215142498,2310247180,8753020652,4805216244,9968163150
2007,"kgz",231493571,410163995,1036977846,3297431055,1268471417,3707595050
2007,"khm",114337319,481837600,6772278992,5864998787,6886616311,6346836387
2007,"kir",13973774,30485966,3290760,68817305,17264534,99303271
2007,"kna",4478180,53816190,72162996,289267019,76641176,343083209
2007,"kor",3616808739,16768168811,414988178392,338951496113,418604987131,355719664924
2007,"kwt",151330795,2919508562,60142835152,21631687040,60294165947,24551195602
2007,"lao",69215964,210320224,1089516169,1635203093,1158732133,1845523317
2007,"lbn",516807436,1967482272,3369112758,10595969635,3885920194,12563451907
2007,"lbr",7338422,166218476,1043782871,6224005931,1051121293,6390224407
2007,"lby",27763602,1435025534,37713370376,7861864260,37741133978,9296889794
2007,"lca",42340324,129919256,87124015,1620034433,129464339,1749953689
2007,"lka",2007984377,1491684460,7113549542,10709653267,9121533919,12201337727
2007,"lso",85089450,234118618,872334760,848830669,957424210,1082949287
2007,"ltu",2490473680,2581140311,13302039871,22569790484,15792513551,25150930795
2007,"lux",1048093285,2181016016,20171251846,20037985803,21219345131,22219001819
2007,"lva",1136240182,1784943154,8828210439,14867984394,9964450621,16652927548
2007,"mac",48019504,728759497,2826322599,5156233637,2874342103,5884993134
2007,"mar",4386714455,4040060823,15366720596,29756280496,19753435051,33796341319
2007,"mda",578192907,544385010,1449424302,3760373467,2027617209,4304758477
2007,"mdg",480888016,421086245,989098764,2262776920,1469986780,2683863165
2007,"mdv",152675782,206860262,15535113,1061551649,168210895,1268411911
2007,"mex",16015041824,19268325005,264341490392,250064704948,280356532216,269333029953
2007,"mhl",57981836,13865037,514090676,4947914718,572072512,4961779755
2007,"mkd",527633105,658466938,3429942930,4940875943,3957576035,5599342881
2007,"mli",118370961,372875552,1380523989,2233247855,1498894950,2606123407
2007,"mlt",205822415,679963445,5598588125,7019877254,5804410540,7699840699
2007,"mmr",1035460957,648741628,3888085844,4296519057,4923546801,4945260685
2007,"mne",54400421,484770234,648678416,2675606763,703078837,3160376997
2007,"mng",45843307,278242758,2089988972,1956663540,2135832279,2234906298
2007,"mnp",644839,11200535,14719163,157554283,15364002,168754818
