"year","origin_id","export_val","import_val","Export_ton","Import_ton"
2019,"ago",38776275317,15020227352,76228524,7534046
2019,"bdi",282934045,978379838,86553,1174026
2019,"ben",2126820162,4110377567,1611330,6291592
2019,"bfa",6126050900,4562546978,1659314,5423357
2019,"bwa",5583555394,6922129231,989106,4249176
2019,"caf",194159058,804148992,243721,716913
2019,"civ",14625973927,11466995458,13558346,15886951
2019,"cmr",5751573333,8013664302,8723234,10374307
2019,"cod",15489963803,10279710548,4159221,7827679
2019,"cog",11498203399,2854586716,15425899,2373841
2019,"com",81898198,305140905,40399,482071
2019,"cpv",229179591,1461796199,217689,2159060
2019,"dji",165814942,5281997662,135342,6503802
2019,"dza",36266346964,39921804497,78428053,39307016
2019,"egy",38805436383,86802771253,58817972,95641186
2019,"eri",494915152,386833541,325939,400192
2019,"eth",3415425339,16165880741,1709988,13040739
2019,"gab",9284598619,4147431300,17478495,2559047
2019,"gha",22541101896,17117856095,19799519,19073761
2019,"gin",6692214260,4407142513,64427109,5470180
2019,"gmb",254811837,1529861134,273642,2196883
2019,"gnb",250229239,331898976,222788,541317
2019,"gnq",5127210396,1008201635,11514547,624933
2019,"ken",7084246521,18697524633,4889269,21955023
2019,"lbr",1529141684,8538013801,10703034,6385177
2019,"lby",32946681804,15285417821,67600607,15294692
2019,"lso",1138443929,1675920395,164792,1322926
2019,"mar",35763068415,52495187489,37129647,67350829
2019,"mdg",3718160338,4270286695,1262989,6987313
2019,"mli",7095596053,5600483913,1152763,7447189
2019,"moz",7380880330,11152897053,542178396,161440354
2019,"mrt",4772237088,4690418859,25328718,5449234
2019,"mus",2824588468,6201595828,1456902,6029611
2019,"mwi",1058113338,3022909182,555323,2143683
2019,"nam",5892654225,6018098259,2417101,4970593
2019,"ner",1497043085,3015876344,929087,3068845
2019,"nga",64526741345,50736858356,114753629,37064029
2019,"rwa",1123170397,3361403166,397033,3117193
2019,"sdn",4130226305,8019132758,3555696,7312984
2019,"sen",4879789259,10540886284,7686330,14194045
2019,"shn",23502467,34737652,1819,18680
2019,"sle",730573338,1179672198,2440298,1609795
2019,"som",596134218,4142559592,159117,4335118
2019,"ssd",1739586263,1013836437,3621268,881677
2019,"stp",23281855,170424929,3855,123057
2019,"swz",3625773556,2006432540,2229110,2197920
2019,"syc",774170919,1492512588,241584,641067
2019,"tcd",1326879447,1086400418,2177551,500686
2019,"tgo",3109799337,7424924474,5505743,8595759
2019,"tun",17725636367,22535543587,11472982,17481987
2019,"tza",6328840455,12303784382,4466391,11559437
2019,"uga",5364257474,8193337302,2384581,8179850
2019,"zaf",119841812328,87902112161,253585758,64383364
2019,"zmb",9441354097,8065605783,4950924,5454069
2019,"zwe",4304739817,4995619173,2411726,3739326
