"Indicateur","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024 (sd)","2025 (p)"
"Revenu disponible brut",11.083,7.926,14.818,11.674,8.703,7.478,8.063,8.838,9.717,12.175,12.702,11.362,11.725,13.681000000000001,18.056,15.322,12.307,12.393,15.068,11.695,13.584,15.347,14.003,9.602,6.9030000000000005,7.238,5.915,4.841,6.231,7.28,6.9350000000000005,4.062,4.974,2.143,1.499,3.4130000000000003,2.6109999999999998,2.776,3.297,2.711,6.047,5.138,4.222,2.7640000000000002,4.309,3.425,5.348,5.169,3.267,0.197,2.69,2.161,1.054,-0.403,1.45,1.181,1.7000000000000002,2.501,2.864,3.4050000000000002,0.991,4.845,5.349,8.127,4.953,0.47200000000000003
"Indice du prix de la dépense de consommation finale des ménages",3.231,3.,4.02,4.816,3.274,2.6470000000000002,2.967,3.173,4.785,6.973,5.036,5.628,5.69,7.293,14.044,11.496,9.418,9.379,8.686,10.808,12.885,13.387,11.677,9.494,7.884,6.2,2.799,2.94,2.678,3.732,2.7960000000000003,2.6550000000000002,2.608,1.466,0.96,0.9420000000000001,1.483,0.764,0.133,-0.47500000000000003,2.076,1.76,0.984,1.53,2.087,1.792,2.076,1.89,2.8369999999999997,-1.645,1.218,1.803,1.306,0.59,0.122,0.23,0.198,0.767,1.928,0.791,0.757,1.36,4.925,7.056,2.177,0.841
"Pouvoir d'achat du revenu disponible brut des ménages",7.606,4.783,10.38,6.543,5.257,4.707,4.949,5.49,4.707,4.8629999999999995,7.298,5.429,5.71,5.954,3.519,3.431,2.64,2.755,5.873,0.801,0.619,1.728,2.083,0.098,-0.909,0.978,3.031,1.8479999999999999,3.46,3.42,4.027,1.37,2.306,0.667,0.534,2.448,1.111,1.998,3.16,3.201,3.89,3.32,3.206,1.215,2.176,1.604,3.206,3.217,0.418,1.873,1.454,0.352,-0.249,-0.987,1.327,0.9490000000000001,1.499,1.72,0.918,2.593,0.232,3.438,0.403,1.,2.717,-0.366
"Pouvoir d'achat par personne",6.509,3.66,8.409,4.708,4.153,3.717,4.051,4.652,3.931,4.019,6.334,4.441,4.785,5.099,2.84,2.959,2.229,2.294,5.41,0.364,0.105,1.157,1.487,-0.433,-1.384,0.483,2.515,1.307,2.876,2.818,3.474,0.879,1.818,0.247,0.171,2.089,0.764,1.6480000000000001,2.79,2.681,3.19,2.5789999999999997,2.47,0.516,1.442,0.857,2.507,2.599,-0.124,1.3679999999999999,0.972,-0.121,-0.717,-1.474,0.811,0.503,1.119,1.314,0.461,2.195,-0.243,3.072,-0.07,0.597,2.384,-0.686
"Pouvoir d'achat par ménage",6.507,3.6109999999999998,8.252,4.676,4.135,3.652,3.885,4.283,3.351,3.165,5.319,3.481,3.8120000000000003,4.087,1.823,1.8210000000000002,1.041,1.174,4.275,-0.6950000000000001,-0.82,0.322,0.682,-1.282,-2.2439999999999998,-0.28400000000000003,1.802,0.665,2.291,2.292,2.79,0.10200000000000001,1.099,-0.492,-0.632,1.249,-0.033,0.876,1.9609999999999999,1.866,2.466,1.881,1.7770000000000001,-0.14,0.851,0.342,1.947,2.048,-0.577,0.921,0.529,-0.511,-1.085,-1.851,0.451,0.127,0.684,0.8290000000000001,0.004,1.667,-0.656,2.484,-0.5700000000000001,0.07200000000000001,1.899,-0.976
"Pouvoir d'achat par unité de consommation",6.548,3.594,8.279,4.623,4.095,3.652,3.964,4.501,3.729,3.7439999999999998,6.016,4.144,4.486,4.789,2.499,2.561,1.815,1.885,4.9879999999999995,-0.028,-0.233,0.861,1.197,-0.735,-1.704,0.18,2.224,1.044,2.6470000000000002,2.635,3.26,0.631,1.574,0.005,-0.1,1.792,0.506,1.42,2.513,2.423,3.03,2.445,2.343,0.417,1.415,0.907,2.42,2.32,-0.41,1.091,0.7,-0.35,-0.932,-1.6680000000000001,0.68,0.369,0.971,1.163,0.329,1.975,-0.334,2.814,-0.281,0.364,2.196,-0.6880000000000001
"Taux d'épargne (en niveau)",16.176,15.409,17.731,17.235,17.14,17.904,18.125,18.617,18.795,17.536,19.677,19.519,19.876,20.25,20.543,21.476,19.276,19.309,20.828,18.552,17.873,17.326,16.231,15.576,14.151,13.263,12.529,11.245,11.242,11.377,12.565,13.097,14.138,14.545,13.572,14.163,13.394,14.388,13.576,13.296,13.331,14.01,15.097,14.603,14.695,13.975,14.339,14.769,14.634,16.111,15.776,15.429,15.557,14.208,14.523,13.983,13.794,14.013,13.865,14.617,20.432,19.072,16.861,17.005,18.514,17.908
"Indicateurs de consommation des ménages - Dépense de consommation finale des ménages",8.28,8.914,11.665,12.348,8.827,6.487,7.772,8.185,9.478,13.913,9.777,11.581,11.231,13.15,17.624,13.968,15.455,12.349,12.901,14.907,14.53,16.115,15.513,10.459,8.707,8.349,6.813,6.382,6.236,7.117,5.502,3.428,3.716,1.661,2.653,2.707,3.531,1.599,4.2780000000000005,3.044,6.006,4.316,2.9050000000000002,3.363,4.198,4.449,4.901,4.642,3.431,-1.533,3.102,2.589,0.906,1.177,1.081,1.83,1.92,2.245,3.05,2.498,-5.745,6.6530000000000005,8.268,7.8870000000000005,3.011,1.232
"Indicateurs de consommation des ménages - Consommation finale effective des ménages",8.29,9.295,11.95,12.728,9.493,6.945,7.992,8.326,9.663,14.502,10.534,12.016,11.399000000000001,13.899000000000001,17.762,15.521,15.599,12.636,13.79,14.557,14.861,16.149,15.849,10.563,8.864,8.004,6.601,6.038,6.113,7.03,5.87,3.973,4.349,2.637,2.8120000000000003,3.382,3.54,1.732,4.023,3.246,5.699,4.3870000000000005,3.882,3.824,4.088,4.34,4.619,4.592,3.365,-0.276,3.127,2.479,1.233,1.404,1.418,1.774,1.871,2.41,2.564,2.324,-3.723,7.077,7.099,7.019,3.169,1.538
"Indicateurs démographiques - Population moyenne",1.03,1.083,1.818,1.7530000000000001,1.06,0.9550000000000001,0.863,0.801,0.747,0.812,0.907,0.9460000000000001,0.882,0.8140000000000001,0.661,0.458,0.402,0.45,0.439,0.436,0.514,0.5650000000000001,0.587,0.533,0.482,0.493,0.503,0.534,0.5680000000000001,0.586,0.534,0.487,0.48,0.419,0.362,0.35100000000000003,0.34400000000000003,0.34400000000000003,0.36,0.507,0.679,0.722,0.718,0.6960000000000001,0.723,0.74,0.682,0.602,0.542,0.498,0.47700000000000004,0.47300000000000003,0.47200000000000003,0.494,0.512,0.444,0.376,0.401,0.455,0.39,0.47700000000000004,0.355,0.47300000000000003,0.401,0.326,0.322
"Indicateurs démographiques - Nombre de ménages",1.032,1.131,1.966,1.783,1.077,1.018,1.025,1.158,1.312,1.646,1.879,1.8820000000000001,1.828,1.794,1.666,1.581,1.583,1.5630000000000002,1.532,1.506,1.451,1.4020000000000001,1.392,1.3980000000000001,1.366,1.266,1.207,1.176,1.143,1.102,1.203,1.267,1.194,1.165,1.173,1.184,1.1440000000000001,1.112,1.176,1.311,1.39,1.413,1.404,1.357,1.314,1.2570000000000001,1.235,1.145,1.001,0.9430000000000001,0.92,0.867,0.846,0.88,0.872,0.8210000000000001,0.81,0.884,0.914,0.911,0.894,0.931,0.979,0.927,0.802,0.616
"Indicateurs démographiques - Nombre d'unités de consommation",0.993,1.147,1.94,1.835,1.116,1.018,0.9470000000000001,0.9460000000000001,0.9430000000000001,1.079,1.209,1.234,1.172,1.112,0.995,0.848,0.81,0.854,0.843,0.83,0.854,0.86,0.876,0.839,0.809,0.797,0.789,0.796,0.792,0.765,0.743,0.734,0.721,0.662,0.635,0.644,0.602,0.5700000000000001,0.631,0.76,0.835,0.854,0.843,0.794,0.75,0.6910000000000001,0.767,0.876,0.8310000000000001,0.774,0.749,0.704,0.69,0.6920000000000001,0.643,0.577,0.523,0.55,0.587,0.606,0.5680000000000001,0.607,0.685,0.634,0.51,0.325
