"Annee","Pouvoir_d_achat_par_unite_de_consommation","Pouvoir_d_achat_du_revenu_disponible_brut"
"2025",-0.688,-0.366
"2024",2.196,2.717
"2023",0.364,1.
"2022",-0.281,0.403
"2021",2.814,3.438
"2020",-0.334,0.232
"2019",1.975,2.593
"2018",0.329,0.918
"2017",1.163,1.72
"2016",0.971,1.499
"2015",0.369,0.949
"2014",0.68,1.327
"2013",-1.668,-0.987
"2012",-0.932,-0.249
"2011",-0.35,0.352
"2010",0.7,1.454
"2009",1.091,1.873
"2008",-0.41,0.418
"2007",2.32,3.217
"2006",2.42,3.206
"2005",0.907,1.604
"2004",1.415,2.176
"2003",0.417,1.215
"2002",2.343,3.206
"2001",2.445,3.32
"2000",3.03,3.89
"1999",2.423,3.201
"1998",2.513,3.16
"1997",1.42,1.998
"1996",0.506,1.111
"1995",1.792,2.448
"1994",-0.1,0.534
"1993",0.005,0.667
"1992",1.574,2.306
"1991",0.631,1.37
"1990",3.26,4.027
"1989",2.635,3.42
"1988",2.647,3.46
"1987",1.044,1.847
"1986",2.224,3.031
"1985",0.18,0.978
"1984",-1.704,-0.909
"1983",-0.735,0.098
"1982",1.197,2.083
"1981",0.861,1.728
"1980",-0.233,0.619
"1979",-0.028,0.801
"1978",4.987,5.873
"1977",1.885,2.755
"1976",1.815,2.64
"1975",2.561,3.431
"1974",2.499,3.519
"1973",4.789,5.954
"1972",4.486,5.71
"1971",4.144,5.429
"1970",6.016,7.298
"1969",3.743,4.862
"1968",3.729,4.707
"1967",4.501,5.49
"1966",3.964,4.949
"1965",3.652,4.707
"1964",4.095,5.257
"1963",4.623,6.543
"1962",8.279,10.38
"1961",3.594,4.783
"1960",6.548,7.606
