"Country Name","Country Code","Continent","SE.PRM.ENRL","SE.PRM.UNE","SE.SEC.ENRL"
"Aruba","abw","Amérique","","",""
"Argentine","arg","Amérique",4580276,32816,4562016
"Antigua-et-Barbuda","atg","Amérique",8720,133,7160
"Bahamas","bhs","Amérique",23311,8599,29409
"Belize","blz","Amérique",44727,5322,37444
"Bermudes","bmu","Amérique",3377,"",3484
"Bolivie","bol","Amérique",1389317,58597,1277841
"Brésil","bra","Amérique",15129503,"",21635780
"Barbade","brb","Amérique",17209,2832,18515
"Canada","can","Amérique",2430798,127666,2703607
"Chili","chl","Amérique",1526597,20233,1621105
"Colombie","col","Amérique","","",""
"Costa Rica","cri","Amérique",474484,21131,479766
"Cuba","cub","Amérique",724307,24569,679586
"Curacao","cuw","Amérique",11693,366,12675
"Îles Caïmans","cym","Amérique",4575,6,4036
"Dominique","dma","Amérique",5766,230,4483
"République dominicaine","dom","Amérique",1165161,57004,856499
"Équateur","ecu","Amérique",1772335,86090,1810723
"Grenade","grd","Amérique",9511,"",8209
"Groenland","grl","Amérique","","",""
"Guatemala","gtm","Amérique",2413805,197954,1078266
"Guyana","guy","Amérique",91199,17362,63477
"Honduras","hnd","Amérique",1069213,309515,546949
"Haïti","hti","Amérique","","",""
"Jamaïque","jam","Amérique",195202,27604,184800
"Saint-Kitts-et-Nevis","kna","Amérique",5110,"",3904
"Sainte-Lucie","lca","Amérique",14936,304,10805
"Saint-Martin (fr)","maf","Amérique","","",""
"Mexique","mex","Amérique",13384870,45955,13573877
"Nicaragua","nic","Amérique",880080,53481,463660
"Panama","pan","Amérique",442354,41370,""
"Pérou","per","Amérique",3775989,"",3209642
"Puerto Rico (US)","pri","Amérique",150261,22174,236258
"Paraguay","pry","Amérique",706905,97283,569965
"El Salvador","slv","Amérique",608681,95913,442494
"Suriname","sur","Amérique",54706,26242,63941
"Sint Maarten (Dutch part)","sxm","Amérique",3913,196,""
"Îles Turques-et-Caïques","tca","Amérique",3511,"",2846
"Trinité-et-Tobago","tto","Amérique",128993,38105,88408
"Uruguay","ury","Amérique",287527,98,337808
"États-Unis","usa","Amérique",23832746,"",25345304
"Saint-Vincent-et-les Grenadines","vct","Amérique",12163,"",9707
"Venezuela","ven","Amérique",3540946,17643,2695688
"Îles Vierges britanniques","vgb","Amérique",2499,441,2162
"Îles Vierges (EU)","vir","Amérique","","",""
