"Country Name","Country Code","Continent","SE.PRM.ENRL","SE.PRM.UNE","SE.SEC.ENRL"
"Aruba","abw","Amérique","","",""
"Afghanistan","afg","Asie",7507218,"",3429308
"Angola","ago","Afrique",5383867,2281912,2591552
"Albanie","alb","Europe",146962,17039,216158
"Andorre","and","Europe",4271,8,5063
"Émirats arabes unis","are","Asie",554644,919,860281
"Argentine","arg","Amérique",4580276,32816,4562016
"Arménie","arm","Asie",156224,5589,274915
"Samoa américaines","asm","Océanie","","",""
"Antigua-et-Barbuda","atg","Amérique",8720,133,7160
"Australie","aus","Océanie",2260382,4719,2634165
"Autriche","aut","Europe",359638,5345,702731
"Azerbaïdjan","aze","Asie",627013,9457,1065995
"Burundi","bdi","Afrique","","",""
"Belgique","bel","Europe",814388,13226,1182656
"Bénin","ben","Afrique","","",""
"Burkina Faso","bfa","Afrique",2835544,1647302,1185480
"Bangladesh","bgd","Asie",16252802,1085126,15661732
"Bulgarie","bgr","Europe",232742,13937,484824
"Bahreïn","bhr","Asie",117496,8399,110169
"Bahamas","bhs","Amérique",23311,8599,29409
"Bosnie-Herzégovine","bih","Europe",141518,2933,226755
"Bélarus","blr","Europe",451993,25871,725721
"Belize","blz","Amérique",44727,5322,37444
"Bermudes","bmu","Amérique",3377,"",3484
"Bolivie","bol","Amérique",1389317,58597,1277841
"Brésil","bra","Amérique",15129503,"",21635780
"Barbade","brb","Amérique",17209,2832,18515
"Brunéi Darussalam","brn","Asie",38604,233,40924
"Bhoutan","btn","Asie",88861,9805,69354
"Botswana","bwa","Afrique","","",""
"République centrafricaine","caf","Afrique","","",""
"Canada","can","Amérique",2430798,127666,2703607
"Suisse","che","Europe",549595,252,626178
"Îles Anglo-Normandes","chi","Europe","","",""
"Chili","chl","Amérique",1526597,20233,1621105
"Chine","chn","Asie",107535825,"",96318011
"Côte d'Ivoire","civ","Afrique",4632737,664020,3098275
"Cameroun","cmr","Afrique",5155547,167116,2007361
"Congo, République démocratique du","cod","Afrique",21145524,"",7928331
"Congo, République du","cog","Afrique",880625,171125,""
"Colombie","col","Amérique","","",""
"Comores","com","Afrique","","",""
"Cabo Verde","cpv","Afrique","","",""
"Costa Rica","cri","Amérique",474484,21131,479766
"Cuba","cub","Amérique",724307,24569,679586
"Curacao","cuw","Amérique",11693,366,12675
"Îles Caïmans","cym","Amérique",4575,6,4036
"Chypre","cyp","Europe",58672,247,59926
"République tchèque","cze","Europe",579161,4700,918975
"Allemagne","deu","Europe",3214132,6559,6926438
"Djibouti","dji","Afrique",69705,"",69362
