"Country Name","Country Code","Continent","SE.PRM.ENRL","SE.PRM.UNE","SE.SEC.ENRL"
"Samoa américaines","asm","Océanie","","",""
"Australie","aus","Océanie",2260382,4719,2634165
"Fidji","fji","Océanie",115485,"",113605
"Micronésie, États fédérés de","fsm","Océanie",11827,3446,""
"Guam","gum","Océanie","","",""
"Kiribati","kir","Océanie",17777,1547,16945
"Îles Marshall","mhl","Océanie",5815,17,5357
"Mariannes","mnp","Océanie","","",""
"Nouvelle-Calédonie","ncl","Océanie","","",""
"Naoero","nru","Océanie",2054,8,1438
"Nouvelle-Zélande","nzl","Océanie",378663,8998,540275
"Palaos","plw","Océanie",1401,114,1398
"Polynésie française","pyf","Océanie","","",""
"Îles Salomon","slb","Océanie",95872,38710,""
"Tonga","ton","Océanie",16114,"",15981
"Tuvalu","tuv","Océanie",1418,5,1179
"Vanuatu","vut","Océanie",55233,1407,61360
"Samoa","wsm","Océanie",35003,1246,""
